"AmazonIpad_name","AmazonIpad_url","AmazonIpad_Price","AmazonIpad_Review","AmazonIpad_Getitby"
"Apple iPad Pro 10.5-inch (256GB, Wi-Fi, Space Gray) 2017 Model","https://www.amazon.com/Apple-10-5-inch-256GB-Wi-Fi-Space/dp/B072V5K6TF/ref=sr_1_38?s=pc&ie=UTF8&qid=1540116278&sr=1-38&keywords=ipad","$ 730 00","4.3 out of 5 stars","Tue, Oct 23"
"[Sponsored]
SIMPLEWAY iPad 2 Case/iPad 3 Case/iPad 4 Case, Lightweight Shockproof Convertible Carrying Handle Stand Kids Friendly Cover Compatible with Apple iPad 2, iPad 3rd Gen, iPad 4th Generation Tablet, Blue","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg2_1?ie=UTF8&adId=A062488438M8YPMY2ZM5P&url=https%3A%2F%2Fwww.amazon.com%2FSIMPLEWAY-Lightweight-Shockproof-Convertible-Compatible%2Fdp%2FB00XVEJ6C0%2Fref%3Dsr_1_39_sspa%3Fs%3Dpc%26ie%3DUTF8%26qid%3D1540116278%26sr%3D1-39-spons%26keywords%3Dipad%26psc%3D1&qualifier=1540116278&id=4140319782402936&widgetName=sp_mtf","$ 16 99","4.5 out of 5 stars",""
"[Sponsored]
iPad Keyboard Case 10.5, 7 Color Backlit Bluetooth Keyboard Case Folio Protective Cover (Gold)","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg2_2?ie=UTF8&adId=A02708597U2IAZWLX2NQ&url=https%3A%2F%2Fwww.amazon.com%2FKeyboard-Color-Backlit-Bluetooth-Protective%2Fdp%2FB078H8SYR2%2Fref%3Dsr_1_40_sspa%3Fs%3Dpc%26ie%3DUTF8%26qid%3D1540116278%26sr%3D1-40-spons%26keywords%3Dipad%26psc%3D1&qualifier=1540116278&id=4140319782402936&widgetName=sp_mtf","$ 49 99","",""
"Apple iPad 4 16GB 9.7"" Retina Display WiFi Bluetooth & Camera - Black - 4th Gen","https://www.amazon.com/Apple-Retina-Display-Bluetooth-Camera/dp/B01IFQ5GZE/ref=sr_1_41?s=pc&ie=UTF8&qid=1540116278&sr=1-41&keywords=ipad","","3.8 out of 5 stars",""
"Apple iPad Mini 4 (128GB, Wi-Fi, Gold)","https://www.amazon.com/Apple-iPad-Mini-128GB-Wi-Fi/dp/B016PUQWMI/ref=sr_1_42?s=pc&ie=UTF8&qid=1540116278&sr=1-42&keywords=ipad","","4.6 out of 5 stars",""
"Apple iPad Pro 2nd 12.9"" with ( Wi-Fi + Cellular ) 2017 Model, 512GB, SPACE GRAY(Certified Refurbished)","https://www.amazon.com/Apple-Wi-Fi-Cellular-Certified-Refurbished/dp/B078YFVW8L/ref=sr_1_43?s=pc&ie=UTF8&qid=1540116278&sr=1-43&keywords=ipad","","4.3 out of 5 stars",""
"Apple iPad 2 MC769LL/A Tablet (iOS 7,16GB, WiFi) Black 2nd Generation","https://www.amazon.com/Apple-MC769LL-Tablet-Black-Generation/dp/B0013FRNKG/ref=sr_1_44?s=pc&ie=UTF8&qid=1540116278&sr=1-44&keywords=ipad","$ 187 96","4.1 out of 5 stars","Tue, Oct 23"
"Apple iPad Pro Tablet (32GB, Wi-Fi, 9.7"") Space Gray (Certified Refurbished)","https://www.amazon.com/Apple-Pro-9-7-Certified-Refurbished/dp/B06XHRCB4X/ref=sr_1_45?s=pc&ie=UTF8&qid=1540116278&sr=1-45&keywords=ipad","$ 363 99","4.4 out of 5 stars","Wed, Oct 24"
"Apple MGKL2LL/A iPad Air 2 64GB, Wi-Fi, (Space Gray) (Certified Refurbished)","https://www.amazon.com/Apple-MGKL2LL-Wi-Fi-Certified-Refurbished/dp/B07DW3W64Y/ref=sr_1_46?s=pc&ie=UTF8&qid=1540116278&sr=1-46&keywords=ipad","$ 229 98","3.8 out of 5 stars",""
"Apple iPad Mini 2 with WiFi 32GB Silver - ME280LL/A","https://www.amazon.com/Apple-iPad-Mini-WiFi-Silver/dp/B00GQDBZUY/ref=sr_1_47?s=pc&ie=UTF8&qid=1540116278&sr=1-47&keywords=ipad","$ 289 99","4.5 out of 5 stars","Tue, Oct 23"
"Apple iPad Mini MF432LL/A (16GB, Wi-Fi, Space Gray )","https://www.amazon.com/Apple-iPad-MF432LL-Wi-Fi-Space/dp/B00GRACUXM/ref=sr_1_48?s=pc&ie=UTF8&qid=1540116278&sr=1-48&keywords=ipad","","4.3 out of 5 stars",""
"Apple iPad Pro (128 GB, Wi-Fi, Gold) - 12"" Display","https://www.amazon.com/Apple-iPad-Pro-Wi-Fi-Gold/dp/B0155OC26U/ref=sr_1_49?s=pc&ie=UTF8&qid=1540116278&sr=1-49&keywords=ipad","","4.3 out of 5 stars",""
"Apple iPad Mini MD528LL/A 16GB WiFi 7.9"", Black (Certified Refurbished)","https://www.amazon.com/Apple-MD528LL-Black-Certified-Refurbished/dp/B076ZBXTCS/ref=sr_1_50?s=pc&ie=UTF8&qid=1540116278&sr=1-50&keywords=ipad","$ 124 99","3.4 out of 5 stars","Wed, Oct 24"
"Apple iPad (2018 Model) with Wi-Fi, 9.7'' Retina Display, A10 Fusion chip, Touch ID, Apple Pay, Night Shift, Apple Pencil Supported -128GB - Space Gray","https://www.amazon.com/Apple-2018-Retina-Display-Supported/dp/B07GQ9J9FD/ref=sr_1_51?s=pc&ie=UTF8&qid=1540116278&sr=1-51&keywords=ipad","$ 469 00","5 out of 5 stars","Wed, Oct 24"
"Apple iPad 6th Gen 128GB (2018 Model) with Saiborie $49.99 Value Accessories, Wi-Fi Only, 9.7'' Retina Display, A10 Fusion chip, Touch ID, Apple Pay, Night Shift (Space Gray)","https://www.amazon.com/Apple-Saiborie-Accessories-Retina-Display/dp/B07C2Q3VTG/ref=sr_1_52?s=pc&ie=UTF8&qid=1540116278&sr=1-52&keywords=ipad","$ 489 99","5 out of 5 stars","Wed, Oct 24"
"[Sponsored]
iPad Keyboard Case for iPad 2018 (6th Gen) - iPad 2017 (5th Gen) - iPad Pro 9.7 - iPad Air 2 & 1 - Thin & Light - 135° Folding - Wireless/BT - Backlit 10 Color - iPad Case with Keyboard (Black)","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_computers_sr_pg2_2?ie=UTF8&adId=A07029072ZC9L4JOZ28XT&url=https%3A%2F%2Fwww.amazon.com%2FiPad-Keyboard-Case-2018-6th%2Fdp%2FB07GFQ18SX%2Fref%3Dsr_1_53_sspa%3Fs%3Dpc%26ie%3DUTF8%26qid%3D1540116278%26sr%3D1-53-spons%26keywords%3Dipad%26psc%3D1&qualifier=1540116278&id=4140319782402936&widgetName=sp_btf","$ 39 99","4.6 out of 5 stars",""
